,Date Created,Number of Likes,Tweets
69,2022-10-15 07:14:37+00:00,0,"Perkuat Bukti, Polisi akan Gali Makam Dua Korban Tragedi Kanjuruhan https://t.co/dto10YAqhn"
70,2022-10-15 07:13:17+00:00,7,"Mulai pekan depan, polisi akan memeriksa 16 saksi terkait Tragedi Kanjuruhan. Lalu, melakukan penggalian kembali atau ekshumasi terhadap dua jenazah Tragedi Kanjuruhan di Malang. #Polhuk #AdadiKompas

https://t.co/2sgbkvdYmk"
71,2022-10-15 07:12:53+00:00,0,"Mulai pekan depan, polisi akan memeriksa 16 saksi terkait Tragedi Kanjuruhan. Lalu, melakukan penggalian kembali atau ekshumasi terhadap dua jenazah Tragedi Kanjuruhan di Malang. #Polhuk #AdadiKompas
https://t.co/wLJGoOk3X1"
72,2022-10-15 07:11:43+00:00,0,"@donopradana Anu paleng mas don, model e wong"" lek pengen kabeh kebukak bosok e kudu nang jatim sek.
Bosok e polisi, petinggi sepak bola, dan smuane sing trlibat bal"" an pas kedaden ndek malang (read: Kanjuruhan Disaster)
Iki kapolda kebuka pas mutasi nang jatim pisan.
Wes wes remek!"
73,2022-10-15 07:09:24+00:00,5,Polri bakal menggelar rekonstruksi terkait tragedi Kanjuruhan pada Kamis pekan depan. Polisi bakal mencari tahu arah tembakan gas air mata.  https://t.co/FO3bDGIFVp
74,2022-10-15 06:53:22+00:00,3,"Lanjutan
Kasus pertama adalah pembunuhan terhadap Brigadir J yang melibatkan atasannya, Irjen Ferdy Sambo. 

Belum selesai kasus ini, muncul Tragedi Kanjuruhan yang melibatkan sejumlah anggota polisi akibat melepaskan tembakan gas air mata ke tribun. next..."
75,2022-10-15 06:49:26+00:00,6,"Kasus Ferdy Sambo menguak betapa bobrok sekarang institusi Polri. Tragedi Kanjuruhan memperburuk citra polisi. Ditambah-tambah dengan kebiasaan berlindung di balik dalih yang dicari-cari.

Susu segelas dirusak nila sekolam. https://t.co/1QAzFKHAOv"
76,2022-10-15 06:30:34+00:00,0,Polisi Akan Lakukan Ekshumasi 2 Jasad Korban Tragedi Kanjuruhan https://t.co/HkDwycAVE9
77,2022-10-15 06:26:59+00:00,0,"Kakek seto kemana? 

Jika kasus kanjuruhan tak menyentuh hati kakek seto karena rakyat biasa bagaiman dengan kasus ini
Ini sama sama polisi kakek! https://t.co/aXPTPV6VgP"
78,2022-10-15 06:25:38+00:00,0,"Polisi menjadwalkan hari Rabu (19/10) melakukan proses ekshumasi atau penggalian kubur terhadap dua jenazah korban Tragedi Kanjuruhan, kemudian setelah itu akan dilanjutkan dengan agenda rekonstruksi pada Kamis (20/10).
https://t.co/q7oPHwAUJq"
79,2022-10-15 06:22:33+00:00,4,Polisi Akan Lakukan Ekshumasi 2 Jasad Korban Tragedi Kanjuruhan https://t.co/nhfF5VN8N5 #TempoNasional
80,2022-10-15 06:09:05+00:00,0,"Ya Allah, jauhkanlah aku dari orang-orang yang tidak pro dengan korban tragedi kanjuruhan. Aku takut masuk kantor polisi karena kekerasan fisik ya Allah."
81,2022-10-15 06:09:01+00:00,0,"Polisi Akan Gelar Rekonstruksi di Stadion Kanjuruhan, Ada 80 Orang Diperiksa
 
https://t.co/urcykVNAFS via @TribunLombokcom"
82,2022-10-15 06:07:14+00:00,2,Polisi akan melakukan ekshumasi atau penggalian kubur kembali dua korban tragedi di Stadion Kanjuruhan. https://t.co/fOoXLmrOga
83,2022-10-15 06:06:22+00:00,2,"TGIPF: Gas Air Mata Picu Kepanikan yang Berujung Tragedi Maut. GAL

#Kanjuruhan #TragediKanjuruhan #Malang #JawaTimur #TGIPF #MahfudMD #GasAirMata #PolresMalang #Polisi #News #Berita #iNews https://t.co/fQds66aGDi"
84,2022-10-15 06:00:09+00:00,5,"Presiden Joko Widodo (Jokowi) meminta seluruh jajaran Polri bekerja keras mengembalikan kepercayaan masyarakat yang telah turun drastis.

#koranjakarta #polri #polisi #jokowidodo #kanjuruhan #narkoba #ferdysambo #indonesia #news #update

https://t.co/lrI3ttktMx"
85,2022-10-15 05:51:54+00:00,0,"@MediaKomando Seharusnya para Polisi yg menembakkan gas air mata gadis cantik ini, siapapun Polisinya yg sdh menembakkan gas air mata di stadion Kanjuruhan,, meminta Maaf lah kepada gadis cantik ini. Ini semua atas perbuatan bejad kalian, harus bertanggung jawab kalian"
86,2022-10-15 05:47:33+00:00,0,Rabu Polisi Lakukan Ekshumasi Dua Korban Tragedi Kanjuruhan https://t.co/7ajDkJj66d
87,2022-10-15 05:45:03+00:00,0,"@kumparan Semangat pak @ListyoSigitP kasus sambo, kanjuruhan, polisi pake narkoba, dll kami percayakan sama bapak dan jajaran lainnya."
88,2022-10-15 05:42:27+00:00,1,"@fullmoonfolks loh ak kira bahas sambo atau kanjuruhan yg bener2 masalah buat polisi loh, lah yapa yaa jauh dari harapan sekali ya.."
89,2022-10-15 05:33:00+00:00,6,"132 Orang Tewas, Exco PSSI: Tragedi Kanjuruhan Kehendak Tuhan

#koranjakarta #PSSI #kanjuruhan #korban #polisi #sepakbola #indonesia #news #update

https://t.co/AP0yfL5PIP https://t.co/1xusSN0J7Z"
